"year","month","Residential.Commercial","BOROUGH","Ejectment","Eviction.Legal.Possession","Latitude","Longitude","Census.Tract","dtm"
"2022","01","Residential","MANHATTAN","Not an Ejectment","Possession",40.776392,-73.952279,14601,2022-01-13
"2022","01","Commercial","BROOKLYN","Not an Ejectment","Possession",40.606349,-73.9618,554,2022-01-03
"2022","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.633309,-73.949484,774,2022-02-25
"2022","04","Residential","BROOKLYN","Not an Ejectment","Possession",40.644547,-74.004879,96,2022-04-07
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.679338,-73.930374,297,2020-02-20
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.854553,-73.88224,393,2020-01-06
"2022","04","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.56126,-74.181805,17007,2022-04-01
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.670612,-73.781213,294,2020-01-27
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.830068,-73.91703,18101,2020-01-14
"2020","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.598017,-73.976785,400,2020-03-04
"2022","10","Residential","MANHATTAN","Not an Ejectment","Possession",40.802357,-73.950451,218,2022-10-04
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.74458,-73.956448,1,2020-01-21
"2022","08","Commercial","BROOKLYN","Not an Ejectment","Possession",40.699453,-73.987832,13,2022-08-22
"2022","09","Commercial","BRONX","Not an Ejectment","Possession",40.859808,-73.868536,33201,2022-09-23
"2022","06","Residential","BROOKLYN","Not an Ejectment","Possession",40.669376,-73.890396,1158,2022-06-21
"2022","08","Residential","MANHATTAN","Not an Ejectment","Possession",40.8236,-73.94163,259,2022-08-04
"2022","04","Residential","BROOKLYN","Not an Ejectment","Possession",40.679879,-73.914459,371,2022-04-14
"2022","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.638,-73.892869,1012,2022-02-03
"2022","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.638,-73.892869,1012,2022-02-03
"2020","02","Residential","QUEENS","Not an Ejectment","Possession",40.71255,-73.754368,510,2020-02-03
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.81118,-73.915432,41,2020-01-28
"2022","06","Residential","BROOKLYN","Not an Ejectment","Possession",40.617601,-73.99079,260,2022-06-08
"2022","01","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.62887,-74.076516,21,2022-01-13
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.867397,-73.870463,336,2020-01-28
"2022","02","Commercial","MANHATTAN","Not an Ejectment","Possession",40.741975,-73.996384,87,2022-02-22
"2022","09","Commercial","BROOKLYN","Not an Ejectment","Possession",40.68499,-73.941776,267,2022-09-02
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.845253,-73.883698,363,2020-01-28
"2022","05","Residential","BRONX","Not an Ejectment","Possession",40.850735,-73.887144,373,2022-05-25
"2022","06","Residential","QUEENS","Not an Ejectment","Possession",40.691254,-73.819863,156,2022-06-22
"2020","02","Residential","MANHATTAN","Not an Ejectment","Possession",40.772237,-73.980305,149,2020-02-03
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.740465,-73.781919,1347,2020-01-31
"2022","05","Residential","MANHATTAN","Not an Ejectment","Possession",40.848077,-73.936924,263,2022-05-27
"2022","09","Commercial","BROOKLYN","Not an Ejectment","Possession",40.70676,-73.950745,527,2022-09-23
"2020","01","Commercial","BRONX","Not an Ejectment","Possession",40.854016,-73.914889,24502,2020-01-23
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.7619,-73.929887,53,2020-01-08
"2022","10","Residential","MANHATTAN","Not an Ejectment","Possession",40.824278,-73.947443,227,2022-10-04
"2022","04","Commercial","BROOKLYN","Not an Ejectment","Possession",40.650933,-74.016934,18,2022-04-12
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.85566,-73.869871,22401,2020-03-09
"2022","09","Residential","BROOKLYN","Not an Ejectment","Possession",40.681646,-73.918538,379,2022-09-27
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.696914,-73.741234,598,2020-01-10
"2022","04","Commercial","QUEENS","Not an Ejectment","Possession",40.687182,-73.791803,270,2022-04-05
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.848494,-73.922473,20501,2020-02-18
"2021","12","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.617665,-74.15427,30301,2021-12-08
"2022","05","Residential","QUEENS","Not an Ejectment","Possession",40.712499,-73.788153,466,2022-05-11
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.849919,-73.895434,395,2020-03-03
"2022","07","Residential","QUEENS","Not an Ejectment","Possession",40.685036,-73.86322,6,2022-07-01
"2022","08","Residential","BROOKLYN","Not an Ejectment","Possession",40.607652,-73.9143,70201,2022-08-01
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.851999,-73.922515,53,2020-03-10
"2022","08","Residential","BROOKLYN","Not an Ejectment","Possession",40.693997,-73.967,191,2022-08-12
"2022","05","Residential","QUEENS","Not an Ejectment","Possession",40.737756,-73.813275,122702,2022-05-09
"2020","01","Residential","MANHATTAN","Not an Ejectment","Possession",40.798918,-73.940235,182,2020-01-07
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.696051,-73.979545,2901,2020-01-24
"2020","02","Residential","QUEENS","Not an Ejectment","Possession",40.701106,-73.813716,212,2020-02-21
"2020","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.679048,-73.915228,371,2020-03-02
"2022","06","Residential","MANHATTAN","Not an Ejectment","Possession",40.825551,-73.93662,236,2022-06-27
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.662253,-73.905964,918,2020-01-27
"2022","07","Residential","BRONX","Not an Ejectment","Possession",40.827389,-73.851628,78,2022-07-19
"2022","07","Commercial","MANHATTAN","Not an Ejectment","Possession",40.744577,-73.976037,70,2022-07-07
"2022","03","Commercial","BROOKLYN","Not an Ejectment","Possession",40.622007,-73.945776,748,2022-03-14
"2022","09","Residential","QUEENS","Not an Ejectment","Possession",40.723063,-73.809791,1257,2022-09-26
"2022","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.66071,-73.908457,916,2022-02-07
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.652063,-73.93623,872,2020-01-10
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.82959,-73.888344,12101,2020-02-13
"2022","09","Residential","BROOKLYN","Not an Ejectment","Possession",40.699781,-73.922523,429,2022-09-14
"2022","01","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.640978,-74.094337,81,2022-01-13
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.665097,-73.746181,680,2020-01-14
"2020","02","Residential","MANHATTAN","Not an Ejectment","Possession",40.81872,-73.941955,230,2020-02-11
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.687628,-73.923644,375,2020-01-22
