"year","month","Residential.Commercial","BOROUGH","Ejectment","Eviction.Legal.Possession","Latitude","Longitude","Census.Tract","dtm"
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.625894,-73.940891,740,2020-02-03
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.663128,-73.892609,1128,2020-02-05
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.863481,-73.902773,263,2020-01-22
"2022","09","Residential","MANHATTAN","Not an Ejectment","Possession",40.758163,-73.989882,121,2022-09-22
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.805864,-73.913105,2702,2020-02-13
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.831336,-73.891347,123,2020-01-30
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.650254,-73.935057,860,2020-02-24
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.905601,-73.853172,414,2020-01-21
"2020","01","Commercial","BRONX","Not an Ejectment","Possession",40.802663,-73.90819,19,2020-01-07
"2022","05","Residential","BROOKLYN","Not an Ejectment","Possession",40.670242,-73.894407,1158,2022-05-03
"2022","07","Residential","BROOKLYN","Not an Ejectment","Possession",40.716786,-73.964796,555,2022-07-22
"2022","09","Residential","BRONX","Not an Ejectment","Possession",40.858104,-73.890006,387,2022-09-15
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.76239,-73.908502,147,2020-01-02
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.809233,-73.925318,23,2020-02-11
"2022","08","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.554622,-74.199007,17010,2022-08-12
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.832625,-73.868901,76,2020-01-23
"2022","03","Commercial","BROOKLYN","Not an Ejectment","Possession",40.684844,-73.926438,383,2022-03-11
"2022","07","Residential","BRONX","Not an Ejectment","Possession",40.827389,-73.851628,78,2022-07-19
"2022","02","Commercial","QUEENS","Not an Ejectment","Possession",40.595951,-73.754102,99801,2022-02-07
"2022","02","Commercial","QUEENS","Not an Ejectment","Possession",40.595951,-73.754102,99801,2022-02-07
"2022","09","Residential","BRONX","Not an Ejectment","Possession",40.880862,-73.865811,378,2022-09-15
"2022","09","Residential","BRONX","Not an Ejectment","Possession",40.863895,-73.868427,33202,2022-09-01
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.619932,-73.906338,700,2020-02-28
"2022","05","Residential","BRONX","Not an Ejectment","Possession",40.87609,-73.85945,368,2022-05-03
"2022","09","Commercial","BROOKLYN","Not an Ejectment","Possession",40.648513,-73.9996,90,2022-09-19
"2020","01","Commercial","QUEENS","Not an Ejectment","Possession",40.697234,-73.904548,555,2020-01-06
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.875294,-73.846535,358,2020-02-24
"2020","02","Residential","MANHATTAN","Not an Ejectment","Possession",40.754218,-73.970865,90,2020-02-24
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.890765,-73.85208,422,2020-01-16
"2021","11","Residential","BROOKLYN","Not an Ejectment","Possession",40.638047,-73.955786,51601,2021-11-09
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.72055,-73.959343,557,2020-01-07
"2020","02","Residential","QUEENS","Not an Ejectment","Possession",40.663895,-73.747667,680,2020-02-28
"2022","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.674641,-73.939528,311,2022-02-08
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.830157,-73.875731,54,2020-01-27
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.754411,-73.928187,55,2020-01-29
"2022","08","Residential","BRONX","Not an Ejectment","Possession",40.863974,-73.89821,401,2022-08-10
"2020","02","Commercial","MANHATTAN","Not an Ejectment","Possession",40.83976,-73.940705,251,2020-02-11
"2022","08","Residential","BRONX","Not an Ejectment","Possession",40.817412,-73.810537,118,2022-08-11
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.666075,-73.774502,306,2020-01-06
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.676406,-73.891463,1198,2020-02-19
"2022","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.633318,-74.005974,118,2022-02-24
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.832381,-73.896596,153,2020-01-03
"2022","03","Residential","BRONX","Not an Ejectment","Possession",40.854382,-73.861856,246,2022-03-25
"2020","02","Residential","QUEENS","Not an Ejectment","Possession",40.751429,-73.708438,155102,2020-02-28
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.877625,-73.85144,386,2020-02-20
"2020","03","Commercial","BROOKLYN","Not an Ejectment","Possession",40.670849,-73.984921,137,2020-03-06
"2021","07","Commercial","BROOKLYN","Not an Ejectment","Possession",40.679669,-74.005278,59,2021-07-02
"2020","01","Residential","MANHATTAN","Not an Ejectment","Possession",40.794592,-73.939553,180,2020-01-14
"2022","09","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.591935,-74.160343,27706,2022-09-13
"2020","03","Residential","QUEENS","Not an Ejectment","Possession",40.672724,-73.773676,33402,2020-03-13
"2020","02","Residential","QUEENS","Not an Ejectment","Possession",40.708653,-73.788014,462,2020-02-04
"2022","03","Commercial","QUEENS","Not an Ejectment","Possession",40.761676,-73.8441,38301,2022-03-08
"2020","01","Commercial","QUEENS","Not an Ejectment","Possession",40.762122,-73.774014,1467,2020-01-10
"2022","07","Residential","BRONX","Not an Ejectment","Possession",40.827634,-73.904509,185,2022-07-29
"2022","06","Commercial","BROOKLYN","Not an Ejectment","Possession",40.709851,-73.933819,485,2022-06-27
"2022","04","Commercial","MANHATTAN","Not an Ejectment","Possession",40.756512,-73.980151,96,2022-04-19
"2022","09","Residential","BROOKLYN","Not an Ejectment","Possession",40.614866,-73.919077,686,2022-09-08
"2022","07","Residential","BRONX","Not an Ejectment","Possession",40.82646,-73.915051,173,2022-07-25
"2022","08","Residential","QUEENS","Not an Ejectment","Possession",40.69477,-73.751109,530,2022-08-05
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.57703,-73.9946,328,2020-01-14
"2020","02","Residential","MANHATTAN","Not an Ejectment","Possession",40.756223,-73.963923,10601,2020-02-20
"2022","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.692207,-73.944056,261,2022-03-23
"2021","12","Residential","BROOKLYN","Not an Ejectment","Possession",40.634932,-73.958119,766,2021-12-09
"2022","07","Residential","BROOKLYN","Not an Ejectment","Possession",40.602032,-73.955094,558,2022-07-27
"2020","02","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.584873,-74.096731,11401,2020-02-03
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.86909,-73.894659,40303,2020-02-21
"2022","08","Residential","MANHATTAN","Not an Ejectment","Possession",40.86781,-73.9213,295,2022-08-08
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.828785,-73.911648,143,2020-03-11
"2022","08","Residential","QUEENS","Not an Ejectment","Possession",40.74001,-73.865222,44302,2022-08-22
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.812573,-73.921358,41,2020-03-10
"2022","07","Residential","QUEENS","Not an Ejectment","Possession",40.692394,-73.841612,12602,2022-07-14
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.599068,-73.996817,292,2020-02-10
"2022","04","Residential","BRONX","Not an Ejectment","Possession",40.893809,-73.8587,420,2022-04-20
"2022","07","Residential","BROOKLYN","Not an Ejectment","Possession",40.691798,-73.90602,409,2022-07-25
"2022","04","Residential","BROOKLYN","Not an Ejectment","Possession",40.652383,-73.942951,816,2022-04-19
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.656642,-73.908362,916,2020-01-07
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.7318,-73.806844,122701,2020-01-24
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.58472,-73.969128,37402,2020-02-24
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.7446,-73.922196,18102,2020-01-02
"2022","07","Residential","MANHATTAN","Not an Ejectment","Possession",40.785271,-73.975318,169,2022-07-20
"2020","02","Commercial","BRONX","Not an Ejectment","Possession",40.828556,-73.911381,143,2020-02-11
"2022","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.633742,-73.901281,1006,2022-01-20
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.694196,-73.981861,15,2020-02-24
"2022","06","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.619147,-74.090405,39,2022-06-28
"2022","01","Residential","QUEENS","Not an Ejectment","Possession",40.663956,-73.74771,680,2022-01-27
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.659844,-73.893746,1130,2020-02-03
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.874892,-73.858588,368,2020-02-18
"2022","05","Residential","BRONX","Not an Ejectment","Possession",40.841404,-73.891819,36902,2022-05-04
"2022","09","Residential","QUEENS","Not an Ejectment","Possession",40.70425,-73.871332,63302,2022-09-06
"2020","01","Residential","MANHATTAN","Not an Ejectment","Possession",40.865022,-73.925277,291,2020-01-31
"2022","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.577917,-73.976389,350,2022-03-24
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.626172,-73.941925,740,2020-02-10
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.865045,-73.901556,265,2020-03-05
"2022","08","Residential","QUEENS","Not an Ejectment","Possession",40.738035,-73.861144,455,2022-08-09
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.858098,-73.89567,38302,2020-01-29
"2022","05","Residential","BRONX","Not an Ejectment","Possession",40.87398,-73.884906,413,2022-05-31
"2020","03","Residential","QUEENS","Not an Ejectment","Possession",40.758909,-73.861206,373,2020-03-11
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.879375,-73.873303,431,2020-03-12
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.672848,-73.773628,33402,2020-01-10
"2020","03","Residential","MANHATTAN","Not an Ejectment","Possession",40.751966,-74.002642,99,2020-03-02
"2022","08","Residential","BROOKLYN","Not an Ejectment","Possession",40.676271,-73.909766,36501,2022-08-02
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.867357,-73.884903,40702,2020-02-27
"2022","07","Residential","QUEENS","Not an Ejectment","Possession",40.736506,-73.936008,199,2022-07-08
"2020","02","Residential","MANHATTAN","Not an Ejectment","Possession",40.787982,-73.973606,173,2020-02-04
"2022","05","Residential","MANHATTAN","Not an Ejectment","Possession",40.793779,-73.963159,185,2022-05-17
"2022","06","Residential","BROOKLYN","Not an Ejectment","Possession",40.648201,-73.917372,930,2022-06-17
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.860959,-73.90897,255,2020-01-14
"2020","01","Residential","MANHATTAN","Not an Ejectment","Possession",40.781598,-73.94904,154,2020-01-06
"2022","05","Residential","MANHATTAN","Not an Ejectment","Possession",40.799537,-73.932816,192,2022-05-06
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.771417,-73.932523,81,2020-01-08
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.760138,-73.886189,327,2020-01-03
"2020","02","Commercial","MANHATTAN","Not an Ejectment","Possession",40.814447,-73.94434,226,2020-02-20
"2020","02","Commercial","BRONX","Not an Ejectment","Possession",40.831826,-73.866557,76,2020-02-11
"2020","03","Residential","QUEENS","Not an Ejectment","Possession",40.706176,-73.804371,236,2020-03-11
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.655385,-73.919039,888,2020-02-26
"2022","09","Residential","QUEENS","Not an Ejectment","Possession",40.698799,-73.804746,208,2022-09-14
"2022","09","Residential","BROOKLYN","Not an Ejectment","Possession",40.674576,-73.907609,36502,2022-09-01
"2020","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.66954,-73.927277,357,2020-03-05
"2022","05","Residential","QUEENS","Not an Ejectment","Possession",40.70874,-73.873263,621,2022-05-12
"2022","09","Residential","BROOKLYN","Not an Ejectment","Possession",40.687847,-73.959788,233,2022-09-15
"2022","07","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.55862,-74.107123,12806,2022-07-11
"2020","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.687373,-73.927603,385,2020-03-13
"2022","06","Residential","BROOKLYN","Not an Ejectment","Possession",40.669136,-73.911549,924,2022-06-08
"2022","09","Residential","BROOKLYN","Not an Ejectment","Possession",40.672567,-73.947472,31701,2022-09-27
"2022","06","Commercial","QUEENS","Not an Ejectment","Possession",40.684397,-73.830962,100,2022-06-17
"2020","02","Residential","BRONX","Not an Ejectment","Eviction",40.879929,-73.900869,277,2020-02-04
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.663148,-73.937837,87401,2020-01-17
"2022","05","Residential","BROOKLYN","Not an Ejectment","Possession",40.578106,-73.954789,61004,2022-05-17
"2022","06","Commercial","MANHATTAN","Not an Ejectment","Possession",40.764251,-73.98838,133,2022-06-27
"2020","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.707331,-73.921266,447,2020-03-09
"2020","01","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.63385,-74.076363,21,2020-01-15
"2022","08","Residential","BRONX","Not an Ejectment","Possession",40.847754,-73.890482,373,2022-08-12
"2022","09","Residential","BROOKLYN","Not an Ejectment","Possession",40.697707,-73.923391,421,2022-09-27
"2020","03","Residential","QUEENS","Not an Ejectment","Possession",40.732737,-73.745209,1301,2020-03-02
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.830068,-73.91703,18101,2020-01-14
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.863088,-73.904708,263,2020-01-02
"2022","08","Residential","BRONX","Not an Ejectment","Possession",40.883126,-73.897812,279,2022-08-24
"2022","09","Residential","MANHATTAN","Not an Ejectment","Possession",40.767918,-73.991726,135,2022-09-07
"2020","02","Commercial","QUEENS","Not an Ejectment","Possession",40.69943,-73.771627,424,2020-02-19
"2020","01","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.604103,-74.070506,2002,2020-01-24
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.818734,-73.915903,67,2020-02-25
"2021","08","Residential","BROOKLYN","Not an Ejectment","Possession",40.680269,-73.94747,247,2021-08-13
"2022","09","Commercial","BRONX","Not an Ejectment","Possession",40.854742,-73.890409,385,2022-09-16
"2020","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.645404,-73.952578,792,2020-03-02
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.86986,-73.887759,40702,2020-02-18
"2020","02","Residential","QUEENS","Not an Ejectment","Possession",40.732369,-73.900121,515,2020-02-03
"2022","08","Residential","BROOKLYN","Not an Ejectment","Possession",40.647399,-73.906191,970,2022-08-05
"2020","01","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.618542,-74.123468,147,2020-01-08
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.740773,-73.920115,18502,2020-01-08
"2020","01","Residential","QUEENS","Not an Ejectment","Eviction",40.754835,-73.910212,163,2020-01-27
"2020","01","Commercial","BROOKLYN","Not an Ejectment","Possession",40.584301,-73.956268,608,2020-01-24
"2022","03","Residential","MANHATTAN","Not an Ejectment","Possession",40.727809,-74.000206,65,2022-03-31
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.851999,-73.922515,53,2020-03-10
"2022","07","Commercial","MANHATTAN","Not an Ejectment","Possession",40.798958,-73.938328,188,2022-07-12
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.643885,-73.996191,112,2020-01-03
"2020","02","Residential","MANHATTAN","Not an Ejectment","Possession",40.829467,-73.94587,237,2020-02-28
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.658656,-73.907909,916,2020-02-28
"2022","06","Residential","BROOKLYN","Not an Ejectment","Possession",40.65073,-73.942793,856,2022-06-02
"2020","02","Residential","BRONX","Not an Ejectment","Eviction",40.825043,-73.903859,135,2020-02-19
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.663875,-73.942706,331,2020-01-22
"2020","01","Commercial","BROOKLYN","Not an Ejectment","Possession",40.633815,-74.021787,130,2020-01-17
"2022","09","Residential","BROOKLYN","Not an Ejectment","Possession",40.618013,-74.022603,152,2022-09-23
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.670848,-73.939269,339,2020-01-03
"2020","01","Commercial","BRONX","Not an Ejectment","Possession",40.835529,-73.920677,197,2020-01-07
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.751042,-73.788482,1429,2020-01-16
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.668308,-73.955078,323,2020-01-31
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.85503,-73.898907,379,2020-02-19
"2022","02","Residential","BRONX","Not an Ejectment","Possession",40.858516,-73.86954,33201,2022-02-10
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.617553,-73.960756,768,2020-01-24
"2022","05","Commercial","MANHATTAN","Not an Ejectment","Possession",40.844858,-73.93723,263,2022-05-06
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.851812,-73.907952,241,2020-01-13
"2020","03","Residential","BROOKLYN","Not an Ejectment","Possession",40.68549,-73.87374,117602,2020-03-04
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.646604,-73.946228,826,2020-01-22
"2022","05","Residential","MANHATTAN","Not an Ejectment","Possession",40.799102,-73.934622,194,2022-05-18
"2022","05","Commercial","QUEENS","Not an Ejectment","Possession",40.763415,-73.807113,1171,2022-05-10
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.664374,-73.932246,355,2020-01-06
"2021","08","Residential","STATEN ISLAND","Not an Ejectment","Possession",40.641101,-74.107889,97,2021-08-31
"2022","08","Residential","QUEENS","Not an Ejectment","Possession",40.662933,-73.773417,306,2022-08-01
"2022","03","Residential","QUEENS","Not an Ejectment","Possession",40.759159,-73.823091,855,2022-03-14
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.834171,-73.925716,193,2020-01-28
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.836286,-73.927496,199,2020-03-05
"2022","08","Residential","BROOKLYN","Not an Ejectment","Possession",40.640235,-73.944276,830,2022-08-15
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.86489,-73.903599,263,2020-02-14
"2020","01","Residential","BROOKLYN","Not an Ejectment","Possession",40.718491,-73.963698,555,2020-01-08
"2020","01","Residential","QUEENS","Not an Ejectment","Possession",40.687638,-73.802626,194,2020-01-07
"2022","08","Residential","BRONX","Not an Ejectment","Possession",40.850106,-73.90546,23502,2022-08-18
"2020","02","Residential","BROOKLYN","Not an Ejectment","Possession",40.65226,-73.957236,79602,2020-02-19
"2022","08","Residential","BRONX","Not an Ejectment","Possession",40.821007,-73.89665,87,2022-08-15
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.84054,-73.922319,211,2020-01-28
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.842169,-73.855929,21001,2020-02-26
"2022","07","Commercial","QUEENS","Not an Ejectment","Possession",40.70834,-73.859381,637,2022-07-18
"2020","02","Residential","BRONX","Not an Ejectment","Possession",40.852752,-73.909483,243,2020-02-27
"2020","02","Commercial","MANHATTAN","Not an Ejectment","Possession",40.733216,-74.005481,73,2020-02-24
"2022","05","Commercial","BROOKLYN","Not an Ejectment","Possession",40.708506,-73.958102,525,2022-05-26
"2020","02","Commercial","MANHATTAN","Not an Ejectment","Possession",40.747634,-73.986654,76,2020-02-18
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.876972,-73.874852,42902,2020-03-12
"2020","03","Residential","BRONX","Not an Ejectment","Possession",40.816302,-73.898745,85,2020-03-06
"2022","06","Residential","BROOKLYN","Not an Ejectment","Possession",40.722585,-73.940697,591,2022-06-08
"2020","01","Residential","BROOKLYN","Not an Ejectment","Eviction",40.57762,-73.990378,326,2020-01-27
"2022","04","Residential","BRONX","Not an Ejectment","Possession",40.873717,-73.858395,370,2022-04-19
"2020","01","Commercial","MANHATTAN","Not an Ejectment","Possession",40.751806,-73.988588,109,2020-01-06
"2022","05","Commercial","QUEENS","Not an Ejectment","Possession",40.705187,-73.81171,238,2022-05-02
"2022","09","Residential","BRONX","Not an Ejectment","Possession",40.840852,-73.926063,201,2022-09-07
"2022","05","Residential","BROOKLYN","Not an Ejectment","Possession",40.624046,-73.91631,69601,2022-05-03
"2022","06","Residential","MANHATTAN","Not an Ejectment","Possession",40.766592,-73.992462,135,2022-06-17
"2022","05","Residential","BROOKLYN","Not an Ejectment","Possession",40.656798,-73.911368,896,2022-05-11
"2020","01","Residential","BRONX","Not an Ejectment","Possession",40.880061,-73.905143,289,2020-01-07
"2022","10","Residential","BROOKLYN","Not an Ejectment","Possession",40.642597,-73.947726,828,2022-10-03
