year,month,CASE_COUNT,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2020,5,1333,461,362,156,307,47
2020,5,1110,255,332,149,332,42
2020,5,873,181,259,135,265,33
2020,5,485,108,165,51,136,25
2020,5,360,56,138,50,106,10
2020,5,895,187,266,129,275,38
2020,5,1003,182,327,165,287,42
2020,5,1077,278,323,164,256,56
2020,5,1069,199,336,145,311,78
2020,5,1036,264,350,153,237,32
2020,5,455,90,143,47,138,37
2020,5,467,101,161,69,121,15
2020,5,464,103,160,69,116,16
2020,5,1050,283,313,127,269,58
2020,5,741,184,242,107,165,43
2020,5,646,119,219,97,181,30
2020,5,638,164,161,74,212,27
2020,5,346,82,101,38,110,15
2020,5,230,30,84,25,79,12
2020,6,686,158,250,77,158,43
2020,6,570,123,178,72,163,34
2020,6,515,116,131,75,148,45
2020,6,517,127,127,86,148,29
2020,6,402,108,131,52,103,8
2020,6,247,50,58,33,99,7
2020,6,197,43,52,24,74,4
2020,6,447,96,111,75,146,19
2020,6,419,84,119,66,131,19
2020,6,363,75,99,67,108,14
2020,6,363,66,113,54,114,16
2020,6,409,80,122,58,131,18
2020,6,196,47,50,23,74,2
2020,6,180,27,53,28,68,4
2020,6,380,81,103,55,123,18
2020,6,419,80,132,67,120,20
2020,6,356,68,115,65,92,16
2020,6,378,60,112,58,123,25
2020,6,361,82,91,56,123,9
2020,6,203,53,46,44,54,6
2020,6,172,25,55,25,58,9
2020,6,402,92,110,63,119,18
2020,6,381,73,95,76,121,16
2020,6,381,90,101,73,103,14
2020,6,298,65,81,46,78,28
2020,6,317,66,95,63,77,16
2020,6,206,26,70,37,60,13
2020,6,201,35,57,41,57,11
2020,6,437,75,127,80,132,23
2020,6,441,77,127,94,114,29
2020,7,395,59,121,83,93,39
2020,7,416,76,127,79,117,17
2020,7,234,41,72,48,65,8
2020,7,120,21,23,32,32,12
2020,7,155,20,53,32,38,12
2020,7,431,68,142,76,117,28
2020,7,461,112,123,88,106,32
2020,7,437,83,121,120,88,25
2020,7,392,91,104,85,94,18
2020,7,306,65,90,47,91,13
2020,7,259,40,73,47,86,13
2020,7,223,44,55,42,69,13
2020,7,483,108,123,79,138,35
2020,7,402,70,111,81,121,19
2020,7,440,107,150,70,91,22
2020,7,411,94,90,83,109,35
2020,7,413,75,106,104,106,22
2020,7,216,54,58,36,49,19
2020,7,176,39,41,33,46,17
2020,7,401,95,85,80,109,32
2020,7,340,71,79,69,100,21
2020,7,329,79,96,58,76,20
2020,7,308,69,84,65,63,27
2020,7,298,73,68,54,75,28
2020,7,153,25,35,34,46,13
2020,7,140,30,40,18,33,19
2020,7,312,58,78,71,79,26
2020,7,313,58,106,58,73,18
2020,7,287,80,73,54,67,13
2020,7,274,58,99,44,61,12
2020,7,262,55,80,51,58,18
2020,8,189,37,58,33,54,7
2020,8,135,30,38,26,33,8
2020,8,348,96,93,56,84,19
2020,8,187,47,49,38,46,7
2020,8,298,66,90,47,80,15
2020,8,288,65,86,53,66,18
2020,8,255,53,90,49,57,6
2020,8,160,30,57,23,43,7
2020,8,133,19,48,18,36,12
2020,8,312,89,75,49,77,22
2020,8,263,70,82,42,51,18
2020,8,320,59,114,43,86,18
2020,8,276,61,86,50,67,12
2020,8,277,68,80,44,69,16
2020,8,151,42,33,25,42,9
2020,8,140,23,49,22,39,7
2020,8,333,71,96,57,95,14
2020,8,283,55,66,61,87,14
2020,8,257,50,69,51,69,18
2020,8,227,64,56,33,54,20
2020,8,252,52,75,51,60,14
2020,8,136,29,36,30,34,7
2020,8,150,32,55,16,40,7
2020,8,297,64,85,49,84,15
2020,8,283,64,84,54,69,12
2020,8,313,64,117,50,66,16
2020,8,274,53,99,48,61,13
2020,8,280,77,78,52,52,21
2020,8,128,28,38,23,32,7
2020,8,186,20,62,37,42,25
2020,8,315,46,118,52,77,22
2020,9,294,52,89,55,73,24
2020,9,271,42,94,48,69,17
2020,9,273,40,91,35,90,17
2020,9,230,44,71,30,59,26
2020,9,156,30,46,22,34,24
2020,9,207,18,87,27,62,13
2020,9,217,32,75,40,52,18
2020,9,393,81,126,58,98,30
2020,9,353,56,119,71,82,25
2020,9,323,45,124,57,70,27
2020,9,313,55,111,54,77,16
2020,9,202,35,51,36,61,19
2020,9,263,19,118,45,68,13
2020,9,461,75,178,77,105,26
2020,9,415,62,189,65,81,18
2020,9,456,60,200,84,94,18
2020,9,441,61,163,88,104,25
2020,9,292,45,108,46,69,24
2020,9,216,30,65,48,60,13
2020,9,220,32,78,46,43,21
2020,9,558,73,264,75,122,24
2020,9,497,67,209,88,107,26
2020,9,612,89,271,100,115,37
2020,9,542,71,263,82,100,26
2020,9,463,49,192,69,125,28
2020,9,280,42,109,35,61,33
2020,9,382,32,181,35,106,28
2020,9,437,82,139,58,110,47
2020,9,723,65,355,95,175,33
2020,9,605,52,284,93,135,41
2020,10,705,82,332,120,145,26
2020,10,605,80,271,78,140,36
2020,10,299,34,93,57,98,17
2020,10,335,34,162,29,84,26
2020,10,766,94,355,84,196,37
2020,10,571,67,251,79,145,29
2020,10,541,75,223,74,132,37
2020,10,525,83,217,80,112,33
2020,10,524,92,184,74,143,31
2020,10,314,36,96,46,99,36
2020,10,282,38,115,29,86,14
2020,10,515,53,223,85,116,37
2020,10,588,91,224,100,128,45
2020,10,583,89,215,86,159,33
2020,10,603,91,239,90,143,40
2020,10,503,78,163,91,132,38
2020,10,366,64,91,61,110,39
2020,10,412,45,172,39,123,33
2020,10,626,107,204,101,178,36
2020,10,601,91,214,104,154,38
2020,10,654,96,203,118,188,49
2020,10,759,122,242,137,182,76
2020,10,601,115,199,78,161,48
2020,10,386,73,120,58,103,32
2020,10,362,67,128,48,87,32
2020,10,695,132,221,118,154,69
2020,10,742,119,237,129,180,76
2020,10,783,124,231,135,203,90
2020,10,621,100,192,117,156,56
2020,10,654,115,192,102,168,77
2020,10,403,65,117,52,117,52
2020,11,501,57,231,66,102,45
2020,11,953,159,337,144,220,93
2020,11,903,153,319,158,181,92
2020,11,1113,187,312,199,277,138
2020,11,1139,198,312,212,306,111
2020,11,1037,192,238,179,297,131
2020,11,845,134,224,148,250,89
2020,11,788,106,224,133,226,99
2020,11,1545,240,418,268,417,202
2020,11,1599,274,459,311,409,146
2020,11,1540,239,394,290,448,169
2020,11,1501,248,383,300,406,164
2020,11,1494,272,356,263,430,173
2020,11,1025,193,238,159,324,111
2020,11,896,135,232,134,243,152
2020,11,1832,314,496,332,503,187
2020,11,1730,337,493,288,422,190
2020,11,1752,307,467,336,445,197
2020,11,1857,362,491,347,457,200
2020,11,1773,328,435,328,458,224
2020,11,1290,254,354,196,325,161
2020,11,1148,183,340,159,287,178
2020,11,2317,437,575,411,605,289
2020,11,2074,376,553,372,535,238
2020,11,2370,425,632,383,635,295
2020,11,817,137,246,138,204,92
2020,11,2298,387,603,386,649,273
2020,11,1839,333,453,329,509,215
2020,11,1891,244,562,299,506,280
2020,11,2895,460,899,424,734,378
2020,12,3308,589,947,551,858,363
2020,12,3129,540,860,502,843,384
2020,12,2945,523,847,455,783,337
2020,12,2816,562,768,401,757,328
2020,12,1887,325,506,210,597,249
2020,12,1755,250,556,216,517,216
2020,12,3304,554,964,449,967,370
2020,12,3059,496,922,450,900,291
2020,12,3106,528,913,496,851,318
2020,12,3149,571,940,463,897,277
2020,12,2980,501,837,494,880,266
2020,12,2206,392,600,297,699,218
2020,12,2176,311,645,296,676,248
2020,12,3580,614,1111,500,1004,350
2020,12,3681,634,1065,551,1092,339
2020,12,2787,445,842,454,810,236
2020,12,1926,266,649,336,489,186
2020,12,3427,619,1024,521,928,335
2020,12,2557,405,764,331,797,260
2020,12,2346,292,768,295,698,293
2020,12,4338,716,1307,598,1288,429
2020,12,4102,732,1251,548,1207,364
2020,12,3844,636,1098,525,1186,399
2020,12,3015,503,965,433,873,241
2020,12,1046,154,345,153,298,96
2020,12,3454,537,1024,427,1072,393
2020,12,2889,480,915,314,868,312
2020,12,5391,1020,1600,679,1530,562
2020,12,5206,993,1414,613,1602,584
2020,12,4985,967,1398,661,1493,465
2020,12,3393,665,936,396,1009,387
2021,1,1340,206,415,163,434,122
2021,1,4200,723,1107,519,1341,509
2021,1,3465,512,1065,396,1092,400
2021,1,6603,1257,1894,917,1877,658
2021,1,6157,1166,1759,892,1822,518
2021,1,5685,1109,1605,758,1687,525
2021,1,5445,982,1640,799,1572,452
2021,1,5301,984,1455,780,1601,481
2021,1,3691,677,1008,447,1188,371
2021,1,3199,462,1007,366,1020,344
2021,1,5915,1142,1755,845,1702,469
2021,1,5237,999,1616,671,1536,415
2021,1,5177,1044,1534,695,1526,378
2021,1,5259,995,1557,749,1539,419
2021,1,4850,934,1402,663,1494,356
2021,1,3481,607,1073,444,1060,297
2021,1,2919,502,904,395,862,256
2021,1,4645,768,1462,601,1435,379
2021,1,5140,1085,1475,724,1519,337
2021,1,4908,1038,1352,727,1439,352
2021,1,4940,962,1405,722,1501,350
2021,1,4716,1062,1324,707,1291,330
2021,1,3462,682,1012,500,1023,245
2021,1,2930,507,908,413,923,179
2021,1,5816,1176,1763,876,1634,365
2021,1,4864,1005,1420,764,1389,285
2021,1,5007,991,1505,823,1408,279
2021,1,4794,967,1432,755,1367,271
2021,1,3671,733,1099,530,1073,234
2021,1,2877,557,875,359,921,164
2021,1,2894,548,883,333,912,218
2021,2,980,169,344,189,234,44
2021,2,2659,434,873,441,769,142
2021,2,5145,1093,1505,823,1403,321
2021,2,4851,1069,1388,705,1404,285
2021,2,4158,953,1245,537,1181,242
2021,2,3080,719,900,389,892,180
2021,2,1645,324,567,202,453,99
2021,2,4431,972,1345,610,1237,267
2021,2,3735,874,1090,518,1008,245
2021,2,3778,868,1061,569,1007,273
2021,2,3416,724,931,550,978,228
2021,2,3315,726,934,494,929,231
2021,2,2209,420,671,276,707,135
2021,2,1895,371,585,245,580,114
2021,2,2862,527,860,366,874,234
2021,2,3724,788,1110,611,1024,190
2021,2,3436,772,1006,540,922,196
2021,2,2049,383,591,411,554,110
2021,2,3018,618,855,462,855,228
2021,2,2494,510,681,346,785,172
2021,2,2286,359,792,318,666,151
2021,2,3626,752,1117,547,982,228
2021,2,3472,731,1073,532,934,201
2021,2,3464,713,1023,568,943,217
2021,2,3480,715,1027,514,962,262
2021,2,3242,676,943,518,889,216
2021,2,2018,377,625,248,630,138
2021,2,2037,329,733,252,573,150
2021,3,3726,730,1174,531,1030,261
2021,3,3108,562,936,495,860,255
2021,3,3244,638,956,523,861,266
2021,3,3117,575,934,495,860,252
2021,3,2887,554,888,403,806,236
2021,3,2043,330,594,259,688,172
2021,3,1876,291,595,238,605,147
2021,3,3400,625,1107,491,918,259
2021,3,3343,581,1086,527,916,233
2021,3,3205,562,958,518,908,259
2021,3,3105,544,964,464,920,213
2021,3,3205,573,937,486,965,244
2021,3,2174,331,627,284,755,177
2021,3,1926,249,644,224,660,149
2021,3,3394,564,1063,449,1092,226
2021,3,3195,569,986,492,935,213
2021,3,3175,517,941,507,943,267
2021,3,2922,499,857,446,888,232
2021,3,3044,546,902,433,896,267
2021,3,2161,334,660,270,736,160
2021,3,2093,294,710,233,682,174
2021,3,3882,654,1215,579,1116,317
2021,3,3255,566,1026,471,939,253
2021,3,3452,579,1048,526,1011,288
2021,3,3798,638,1147,587,1130,296
2021,3,3416,568,999,495,1045,309
2021,3,2221,363,632,269,742,215
2021,3,1750,254,574,224,546,152
2021,3,3558,626,1043,485,1093,311
2021,3,3185,593,938,472,935,247
2021,3,3185,508,959,517,940,261
2021,4,2867,501,861,446,831,227
2021,4,2622,360,847,380,812,221
2021,4,2050,314,638,233,664,201
2021,4,1466,191,497,180,456,142
2021,4,3271,505,1039,467,976,284
2021,4,3005,500,933,463,863,245
2021,4,2764,467,868,412,789,227
2021,4,2576,417,813,322,788,236
2021,4,2467,356,803,321,734,253
2021,4,1724,231,564,196,583,150
2021,4,1315,179,462,148,397,129
2021,4,2536,404,853,331,743,205
2021,4,2365,385,774,344,693,167
2021,4,2242,349,722,319,638,214
2021,4,2016,354,640,282,561,179
2021,4,1830,259,595,226,565,184
2021,4,1276,209,411,129,412,115
2021,4,1050,164,357,128,296,105
2021,4,1885,287,641,231,543,182
2021,4,1607,286,518,222,434,146
2021,4,1423,209,513,181,388,132
2021,4,1359,226,489,142,375,127
2021,4,1288,217,438,130,369,134
2021,4,854,125,308,87,255,79
2021,4,754,95,270,75,245,69
2021,4,1372,226,498,167,358,122
2021,4,1137,204,390,145,301,97
2021,4,1210,190,418,129,362,111
2021,4,1053,154,392,150,267,90
2021,4,950,171,322,103,274,80
2021,5,578,86,190,63,181,58
2021,5,568,73,220,50,165,60
2021,5,936,151,316,127,268,73
2021,5,876,156,297,103,239,81
2021,5,778,141,243,107,224,61
2021,5,785,133,268,100,230,54
2021,5,715,137,225,80,193,80
2021,5,384,61,121,41,123,38
2021,5,343,53,106,48,110,26
2021,5,654,130,207,89,178,50
2021,5,628,90,216,70,188,64
2021,5,594,109,196,68,154,66
2021,5,516,93,147,75,151,49
2021,5,487,77,145,58,160,46
2021,5,292,46,94,33,99,20
2021,5,280,48,99,31,84,18
2021,5,453,79,151,72,114,37
2021,5,415,71,138,60,102,44
2021,5,377,74,129,41,106,27
2021,5,397,67,134,51,111,33
2021,5,349,54,115,48,105,27
2021,5,233,35,81,28,68,21
2021,5,187,29,63,17,55,23
2021,5,355,57,105,51,95,47
2021,5,305,48,102,37,81,37
2021,5,249,44,81,40,74,10
2021,5,257,56,62,39,67,33
2021,5,210,36,67,23,66,18
2021,5,126,22,32,23,40,9
2021,5,118,25,34,16,29,14
2021,5,118,15,35,20,38,10
2021,6,289,72,59,52,76,30
2021,6,244,52,70,33,68,21
2021,6,206,45,62,24,61,14
2021,6,225,57,66,34,43,25
2021,6,143,41,44,17,29,12
2021,6,130,24,35,23,33,15
2021,6,222,57,64,32,46,19
2021,6,176,38,55,27,39,17
2021,6,211,56,58,40,40,17
2021,6,156,33,46,30,35,12
2021,6,189,40,44,38,52,15
2021,6,121,25,28,14,39,15
2021,6,115,18,35,19,31,12
2021,6,182,38,54,29,49,12
2021,6,179,30,37,36,57,19
2021,6,173,29,46,31,41,26
2021,6,188,36,52,26,51,23
2021,6,160,19,59,15,47,20
2021,6,107,18,29,22,24,14
2021,6,96,15,33,14,25,9
2021,6,168,27,40,25,50,26
2021,6,171,22,50,33,49,17
2021,6,187,27,48,39,48,24
2021,6,175,18,51,30,47,29
2021,6,180,12,61,28,55,24
2021,6,118,11,37,15,31,24
2021,6,109,17,28,19,23,22
2021,6,206,29,49,45,53,30
2021,6,213,32,53,42,51,35
2021,6,226,30,75,43,51,27
2021,7,204,27,63,29,52,33
2021,7,232,32,60,61,58,21
2021,7,146,18,41,29,33,25
2021,7,124,14,32,25,34,19
2021,7,187,20,62,32,53,20
2021,7,364,48,125,77,80,32
2021,7,402,49,147,72,88,44
2021,7,369,50,110,80,81,46
2021,7,371,56,111,84,88,32
2021,7,238,37,63,49,59,30
2021,7,272,33,79,53,78,25
2021,7,477,70,176,86,109,35
2021,7,457,43,152,101,97,64
2021,7,549,59,185,143,115,46
2021,7,553,71,171,128,129,54
2021,7,557,73,183,121,117,61
2021,7,340,59,109,60,77,35
2021,7,395,36,141,83,106,29
2021,7,813,110,276,176,171,78
2021,7,711,94,233,162,146,75
2021,7,895,128,309,198,197,63
2021,7,976,136,326,226,196,88
2021,7,918,127,319,200,214,55
2021,7,552,58,188,111,141,54
2021,7,636,68,214,119,168,67
2021,7,1228,156,423,261,273,114
2021,7,1199,141,406,253,295,103
2021,7,1243,188,384,275,286,108
2021,7,1290,174,444,234,318,119
2021,7,1282,160,427,252,320,123
2021,7,850,126,263,152,214,95
2021,8,831,92,294,152,220,73
2021,8,1569,237,518,303,388,122
2021,8,1585,232,489,345,365,153
2021,8,1615,215,522,330,382,165
2021,8,1528,208,517,323,366,114
2021,8,1577,211,520,285,418,141
2021,8,1149,179,373,179,293,125
2021,8,1072,156,321,162,301,131
2021,8,1894,290,626,308,496,173
2021,8,1667,265,536,306,408,152
2021,8,1753,262,546,354,438,151
2021,8,1758,232,578,324,451,172
2021,8,1600,267,499,294,394,144
2021,8,1049,146,348,206,253,96
2021,8,1145,140,422,198,304,81
2021,8,1932,329,628,352,479,144
2021,8,1745,296,595,302,418,133
2021,8,1814,273,555,362,461,162
2021,8,1694,264,543,325,420,136
2021,8,1561,284,505,296,349,125
2021,8,1091,180,338,183,272,118
2021,8,718,104,276,98,156,84
2021,8,1953,289,642,369,492,161
2021,8,1837,300,613,349,405,168
2021,8,1787,287,570,371,385,170
2021,8,1644,252,525,325,389,150
2021,8,1452,242,464,266,347,133
2021,8,986,172,296,153,252,112
2021,8,990,138,343,161,257,91
2021,8,1840,305,583,375,392,182
2021,8,1623,259,531,305,326,202
2021,9,1560,225,487,348,360,140
2021,9,1432,212,478,263,304,174
2021,9,1422,216,429,248,331,197
2021,9,905,126,255,154,260,110
2021,9,954,138,334,158,214,110
2021,9,942,163,274,181,226,98
2021,9,1571,285,434,307,372,171
2021,9,1593,234,466,371,390,131
2021,9,1713,241,630,313,400,129
2021,9,1548,232,504,302,378,131
2021,9,1037,139,335,170,288,104
2021,9,1213,127,504,222,258,102
2021,9,1740,223,633,370,391,122
2021,9,1642,201,609,311,372,147
2021,9,1612,234,550,320,353,153
2021,9,1387,193,451,284,322,135
2021,9,1524,174,559,322,365,104
2021,9,956,107,357,138,264,89
2021,9,1057,140,464,161,213,79
2021,9,1642,244,545,296,404,150
2021,9,1302,202,397,283,324,95
2021,9,1415,205,509,280,307,111
2021,9,1292,139,513,223,324,90
2021,9,1222,156,452,238,294,80
2021,9,814,100,309,131,191,82
2021,9,856,97,333,139,201,86
2021,9,1391,185,518,254,323,110
2021,9,1118,158,355,211,296,97
2021,9,1097,150,369,211,269,96
2021,9,1139,151,455,200,240,92
2021,10,1087,134,408,213,256,76
2021,10,681,75,280,122,156,48
2021,10,907,67,458,95,217,69
2021,10,1271,158,512,220,293,88
2021,10,1270,168,506,224,267,105
2021,10,1147,137,487,219,230,74
2021,10,1080,121,406,181,273,98
2021,10,1013,126,451,167,191,77
2021,10,612,67,250,95,145,55
2021,10,688,62,308,94,151,72
2021,10,935,108,363,173,224,67
2021,10,1144,128,463,201,239,112
2021,10,1111,121,410,227,237,115
2021,10,1025,109,426,174,205,111
2021,10,886,112,322,164,207,81
2021,10,489,56,194,55,137,47
2021,10,586,49,260,80,131,66
2021,10,874,108,364,142,179,80
2021,10,798,93,314,136,172,83
2021,10,800,99,294,157,175,75
2021,10,811,85,341,132,166,87
2021,10,694,86,261,131,139,76
2021,10,451,55,162,94,79,61
2021,10,444,37,198,68,83,57
2021,10,896,94,363,168,187,82
2021,10,597,64,238,101,125,69
2021,10,758,100,288,146,153,71
2021,10,738,82,311,122,145,77
2021,10,641,87,230,123,145,56
2021,10,400,41,158,61,101,39
2021,10,446,47,199,59,109,32
2021,11,780,74,314,141,195,56
2021,11,806,79,302,173,191,60
2021,11,825,75,300,181,202,66
2021,11,906,108,349,208,187,53
2021,11,769,90,290,148,186,54
2021,11,508,57,198,74,136,42
2021,11,542,46,205,104,135,52
2021,11,1135,140,401,230,270,93
2021,11,1037,100,358,243,246,90
2021,11,1049,122,363,237,256,68
2021,11,875,90,346,167,225,46
2021,11,1028,109,372,201,256,89
2021,11,614,65,241,105,153,50
2021,11,687,47,258,142,169,70
2021,11,1263,136,428,253,320,126
2021,11,1272,151,430,286,303,100
2021,11,1329,163,432,281,354,99
2021,11,1310,172,428,297,318,95
2021,11,1184,114,353,268,330,119
2021,11,826,71,279,143,253,80
2021,11,840,74,293,149,233,91
2021,11,1528,152,517,297,413,148
2021,11,1381,144,482,286,354,114
2021,11,1416,160,460,255,386,155
2021,11,531,35,189,103,148,56
2021,11,1171,142,364,198,352,114
2021,11,972,100,302,157,307,105
2021,11,1060,89,318,191,333,128
2021,11,2328,287,661,455,684,238
2021,11,2006,278,577,395,574,179
2021,12,2180,279,700,395,584,220
2021,12,2109,307,629,396,561,214
2021,12,1893,241,579,318,554,200
2021,12,1321,172,382,186,412,169
2021,12,1403,122,463,237,418,162
2021,12,2798,365,849,580,749,253
2021,12,2922,333,895,676,745,268
2021,12,3136,339,982,808,738,263
2021,12,3022,354,913,733,747,268
2021,12,3088,345,983,728,776,253
2021,12,2159,267,619,483,592,193
2021,12,2795,258,870,790,661,213
2021,12,7528,744,2390,2374,1575,440
2021,12,10873,925,3419,4088,1938,498
2021,12,13167,1093,4123,4933,2406,607
2021,12,13863,1329,4514,4784,2618,610
2021,12,13548,1509,4275,4278,2766,711
2021,12,9948,1060,3242,2697,2329,613
2021,12,10554,1072,3434,2712,2632,695
2021,12,27949,3656,8929,7898,5988,1459
2021,12,30406,4592,9443,7069,7460,1825
2021,12,31398,5508,9451,6310,8158,1965
2021,12,31815,5373,9605,6314,8560,1952
2021,12,17466,2945,5571,3074,4871,1000
2021,12,7794,1419,2344,1410,2160,457
2021,12,22984,3720,7214,3608,6572,1866
2021,12,51236,9813,15026,8469,14201,3715
2021,12,49663,9856,14192,7965,14329,3304
2021,12,50480,10119,14288,7731,14732,3591
2021,12,47433,9348,13479,7566,13923,3107
2021,12,29114,5136,8735,4578,8960,1700
2022,1,12062,1990,3538,1931,3727,876
2022,1,32490,4914,10142,5080,9873,2473
2022,1,54931,10557,16625,9106,15203,3417
2022,1,49181,10267,13827,8742,13380,2953
2022,1,40223,7965,11184,7091,11445,2533
2022,1,36360,6980,10463,6328,10485,2093
2022,1,23202,4231,6871,4347,6430,1318
2022,1,16189,2700,4840,2525,5017,1106
2022,1,14346,1858,4689,2109,4563,1123
2022,1,25023,4499,7549,4061,7293,1611
2022,1,18536,3357,5551,2883,5454,1284
2022,1,18434,3012,5677,3208,5411,1119
2022,1,16092,2505,5251,2545,4816,973
2022,1,13290,2206,4115,2323,3835,804
2022,1,6758,887,2233,985,2118,535
2022,1,6893,789,2413,1178,2061,452
2022,1,9824,1187,3548,1646,2761,679
2022,1,10919,1616,3580,2061,2953,707
2022,1,9029,1251,3002,1738,2471,560
2022,1,7041,952,2315,1436,1887,449
2022,1,5797,766,1778,1154,1709,389
2022,1,3631,465,1200,536,1157,273
2022,1,3397,351,1232,605,982,227
2022,1,6017,817,1997,1224,1551,425
2022,1,4763,582,1604,1000,1248,328
2022,1,4199,517,1455,900,1075,250
2022,1,3634,443,1189,786,953,259
2022,1,2724,307,894,568,756,197
2022,1,512,69,140,147,127,29
2022,1,1425,138,488,319,364,116
2022,1,3111,638,906,639,706,221
2022,2,2239,282,757,521,527,148
2022,2,2327,263,833,528,542,159
2022,2,2001,253,752,418,457,121
2022,2,1538,176,495,323,426,117
2022,2,946,117,298,195,266,70
2022,2,867,70,263,218,238,78
2022,2,1602,190,529,368,404,111
2022,2,1514,195,528,376,314,101
2022,2,1317,158,406,342,329,80
2022,2,1224,128,402,297,325,72
2022,2,983,133,317,236,229,67
2022,2,635,67,214,145,150,59
2022,2,457,54,153,105,110,35
2022,2,1016,96,357,277,217,69
2022,2,940,91,299,269,205,74
2022,2,937,89,317,250,220,60
2022,2,832,81,268,232,205,45
2022,2,663,70,214,149,174,56
2022,2,425,40,103,123,125,34
2022,2,382,45,115,118,73,31
2022,2,559,47,155,161,160,36
2022,2,685,66,219,192,153,54
2022,2,703,68,200,259,140,36
2022,2,660,77,176,204,163,40
2022,2,539,32,184,165,119,38
2022,2,337,32,105,109,69,21
2022,2,360,27,126,115,68,24
2022,2,707,57,197,248,156,49
2022,3,611,56,181,230,111,33
2022,3,642,47,191,235,121,46
2022,3,587,51,159,230,123,23
2022,3,461,45,139,150,106,21
2022,3,317,29,86,107,66,29
2022,3,339,23,122,109,69,16
2022,3,656,38,230,241,110,37
2022,3,682,52,245,238,111,36
2022,3,625,42,221,228,109,25
2022,3,699,49,241,259,119,30
2022,3,605,59,207,204,104,30
2022,3,300,21,104,101,60,14
2022,3,434,35,129,151,92,27
2022,3,901,69,328,320,147,36
2022,3,848,61,313,300,141,33
2022,3,872,70,275,349,154,24
2022,3,753,66,246,287,125,29
2022,3,803,63,238,319,154,28
2022,3,448,26,132,174,90,26
2022,3,654,28,211,252,134,29
2022,3,1311,105,399,555,207,45
2022,3,1287,92,427,497,214,55
2022,3,1269,85,403,492,225,63
2022,3,1177,104,356,447,217,53
2022,3,1095,94,333,411,211,45
2022,3,679,49,230,217,128,55
2022,3,777,48,268,272,150,39
2022,3,1512,124,437,570,303,77
2022,3,1437,110,481,494,261,89
2022,3,1515,119,455,549,310,82
2022,3,1509,97,447,588,277,99
2022,4,1335,112,399,475,283,66
2022,4,877,70,286,311,175,35
2022,4,904,54,292,305,189,63
2022,4,2152,186,618,793,456,96
2022,4,1975,148,629,718,368,111
2022,4,2096,149,649,823,386,88
2022,4,2008,144,587,775,380,121
2022,4,1885,136,550,643,427,127
2022,4,1171,69,371,402,263,65
2022,4,1190,69,343,450,240,88
