year,month,CASE_COUNT,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2020,2,1,0,0,1,0,0
2020,3,0,0,0,0,0,0
2020,3,0,0,0,0,0,0
2020,3,1,0,0,0,1,0
2020,3,5,0,1,2,2,0
2020,3,3,0,3,0,0,0
2020,3,8,2,1,3,1,1
2020,3,7,0,2,1,3,1
2020,3,21,3,5,6,6,1
2020,3,57,4,16,24,10,3
2020,3,69,8,11,24,24,2
2020,3,155,19,31,62,40,3
2020,3,355,29,96,137,80,13
2020,3,619,79,166,182,166,26
2020,3,642,86,163,176,194,23
2020,3,1034,119,432,205,231,47
2020,3,2121,305,740,457,528,91
2020,3,2452,343,783,567,651,108
2020,3,2971,482,965,538,835,150
2020,3,3706,623,1204,555,1065,258
2020,3,4007,723,1136,653,1185,310
2020,3,2639,491,554,399,947,248
2020,3,2580,495,755,317,696,317
2020,3,3570,730,909,530,1192,209
2020,3,4497,927,1212,619,1389,350
2020,3,4874,1068,1255,586,1571,394
2020,3,5044,998,1372,626,1644,404
2020,3,5119,1090,1426,656,1576,371
2020,3,3479,761,863,388,1201,266
2020,3,3560,699,1149,407,1075,230
2020,3,6129,1315,1754,802,1859,398
2020,3,5458,1282,1512,616,1811,237
2020,4,5449,1240,1590,573,1782,264
2020,4,5746,1289,1610,652,1826,369
2020,4,5670,1452,1440,671,1762,345
2020,4,3866,1012,920,385,1203,345
2020,4,3781,822,1144,356,1135,323
2020,4,6353,1514,1461,721,1927,730
2020,4,6044,1463,1397,605,1949,630
2020,4,5575,1305,1305,546,1857,562
2020,4,5070,1285,1369,558,1560,298
2020,4,4510,1227,1145,495,1342,301
2020,4,3732,998,1131,304,987,311
2020,4,2887,763,703,252,916,253
2020,4,3311,693,1066,393,974,185
2020,4,4144,1076,1038,440,1300,290
2020,4,3876,1068,882,429,1180,317
2020,4,3530,940,885,355,1139,211
2020,4,3586,916,962,330,1099,279
2020,4,2172,552,575,187,705,153
2020,4,2343,532,635,176,866,134
2020,4,3792,981,983,381,1223,224
2020,4,3062,641,896,372,937,216
2020,4,3446,927,854,382,1109,173
2020,4,2841,735,786,400,793,127
2020,4,2535,579,630,408,775,143
2020,4,1595,418,404,145,540,88
2020,4,1003,196,332,98,331,46
2020,4,2290,551,607,302,723,107
2020,4,2726,668,709,323,896,130
2020,4,2340,557,683,285,691,124
2020,4,2022,482,600,217,593,130
2020,5,1887,450,497,240,622,78
2020,5,1058,263,263,138,333,61
2020,5,787,153,245,103,251,35
2020,5,1550,349,461,214,437,89
2020,5,1512,294,432,242,462,82
2020,5,1397,279,450,165,443,60
2020,5,1238,298,403,119,358,60
2020,5,1079,250,344,99,344,42
2020,5,657,175,119,75,256,32
2020,5,457,75,188,95,85,14
2020,5,1231,226,410,192,376,27
2020,5,1285,355,400,163,314,53
