"year","month","case_count","Bronx","Brooklyn","Manhattan","Queens","Staten_Island"
"2020","02",1,0,0,1,0,0
"2020","03",65182,12681,18516,9538,19983,4461
"2020","04",109297,26882,28742,11741,34120,7808
"2020","05",28416,6494,8654,3795,8184,1289
"2020","06",10844,2248,3111,1733,3219,533
"2020","07",9787,2018,2706,1921,2496,646
"2020","08",7446,1624,2262,1282,1852,426
"2020","09",11095,1536,4450,1762,2607,737
"2020","10",16924,2552,6126,2599,4322,1318
"2020","11",44762,7671,12276,7692,11810,5312
"2020","12",97787,16820,28781,13615,28469,10096
"2021","01",138588,26382,40711,19333,41188,10958
"2021","02",86505,17966,25875,12781,24375,5499
"2021","03",92045,15817,28100,13393,27421,7311
"2021","04",54334,8535,17874,7089,15972,4853
"2021","05",13563,2296,4419,1709,3898,1234
"2021","06",5265,968,1468,875,1344,605
"2021","07",18830,2461,6222,3932,4393,1793
"2021","08",46459,7106,15116,8661,11277,4264
"2021","09",39096,5397,13508,7409,9234,3515
"2021","10",25280,2876,10225,4344,5517,2306
"2021","11",31978,3470,10810,6368,8469,2836
"2021","12",506045,82599,152538,104188,133715,32791
"2022","01",460033,78816,140296,79201,131811,29779
"2022","02",27395,3004,8982,6943,6564,1885
"2022","03",25805,1957,8234,9576,4749,1274
"2022","04",58929,4891,17448,18716,14225,3611
"2022","05",101927,11065,30799,23840,28717,7413
"2022","06",80716,10530,23938,17766,23257,5173
"2022","07",102297,15711,29475,20720,29862,6471
"2022","08",66841,11074,19001,12858,19559,4330
"2022","09",46880,7278,13410,9661,13173,3352
"2022","10",1609,205,408,329,457,210
